Star           Alt[°]    Value  Cost[s] Score    LST[h]   Elapsed[min]
---------------------------------------------------------------------------
S_+30_9.6h        9.6     30.0     14.6 0.000    1149.60  0.0         
S_+60_8.0h        8.0     60.0     15.9 0.000    525.70   0.0         
S_0_12.0h        12.0      0.0     21.6 0.000    1147.80  0.0         
S_-30_14.4h      14.4    -30.0     18.8 0.000    697.80   0.0         
S_0_14.0h        14.0      0.0     38.4 0.000    473.10   0.0         
S_+30_12.0h      12.0     30.0     29.3 0.000    636.10   0.0         
HR7001           18.6     38.8     70.7 0.000    1187.70  0.0         
S_+30_19.2h      19.2     30.0     66.6 0.000    185.50   0.0         
S_+30_16.8h      16.8     30.0     80.8 0.000    480.70   0.0         
S_+30_14.4h      14.4     30.0     49.9 0.000    480.70   0.0         
S_0_16.0h        16.0      0.0     48.2 0.000    580.60   0.0         
S_-30_16.8h      16.8    -30.0     23.9 0.000    496.50   0.0         
S_-30_19.2h      19.2    -30.0     23.5 0.000    480.70   0.0         
S_0_20.0h        20.0      0.0     46.9 0.000    496.50   0.0         
S_0_18.0h        18.0      0.0     55.5 0.000    465.00   0.0         
S_-30_21.6h      21.6    -30.0     11.4 0.000    906.00   0.0         
S_0_22.0h        22.0      0.0     32.0 0.000    473.10   0.0         
S_+30_21.6h      21.6     30.0     54.3 0.000    473.10   0.0         
S_+30_0.0h        0.0     30.0     26.9 0.000    480.70   0.0         
S_0_0.0h          0.0      0.0     13.0 0.000    465.00   0.0         
S_+60_0.0h        0.0     60.0     37.9 0.000    915.00   0.0         
S_+60_12.0h      12.0     60.0     19.6 0.000    915.00   0.0         
S_+60_16.0h      16.0     60.0     46.2 0.000    449.30   0.0         
S_+60_20.0h      20.0     60.0     64.2 0.000    449.30   0.0         
S_+90_0h          0.0     90.0     34.2 0.000    465.00   0.0         
S_+60_4.0h        4.0     60.0     16.7 0.000    465.00   0.0         
S_+30_2.4h        2.4     30.0     14.2 0.000    525.70   0.0         
---------------------------------------------------------------------------
観測経路のプロットを 'observation_path.png' に保存しました。
